Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,6,11,11.68,5,5,6
mnist,DNN,6,21,12.84,5,4,5
mnist,DNN,6,22,9.05,5,2,3
mnist,DNN,6,50,9.15,5,4,4
mnist,DNN,6,54,12.97,5,1,1
mnist,DNN,6,66,26.47,0,0,error
mnist,DNN,6,81,8.25,5,1,1
mnist,DNN,6,88,14.73,5,3,5
mnist,DNN,6,91,8.81,5,1,1
mnist,DNN,6,98,8.93,5,1,2
mnist,DNN,6,100,8.75,5,6,6
mnist,DNN,6,123,9.09,5,3,3
mnist,DNN,6,130,9.07,5,3,3
mnist,DNN,6,131,9.36,5,1,1
mnist,DNN,6,138,9.96,5,5,6
mnist,DNN,6,140,8.7,5,4,4
mnist,DNN,6,156,8.54,5,2,3
mnist,DNN,6,161,8.43,5,4,5
mnist,DNN,6,164,14.66,5,4,6
mnist,DNN,6,197,8.39,5,2,2
mnist,DNN,6,201,9.41,5,5,6
mnist,DNN,6,217,27.27,0,0,error
mnist,DNN,6,259,26.23,0,0,error
mnist,DNN,6,286,13.66,5,2,4
mnist,DNN,6,316,8.61,5,3,4
mnist,DNN,6,339,9.1,5,2,3
mnist,DNN,6,341,27.3,0,0,error
mnist,DNN,6,353,11.79,5,3,3
mnist,DNN,6,361,9.35,5,2,3
mnist,DNN,6,366,8.41,5,3,3
mnist,DNN,6,368,9.41,5,3,4
mnist,DNN,6,384,9.42,5,4,4
mnist,DNN,6,386,27.36,0,0,error
mnist,DNN,6,392,7.57,5,2,2
mnist,DNN,6,439,8.65,5,4,4
mnist,DNN,6,445,8.2,5,2,2
mnist,DNN,6,446,8.56,5,2,2
mnist,DNN,6,457,9.0,5,3,3
mnist,DNN,6,461,22.86,5,6,8
mnist,DNN,6,462,46.69,5,2,8
mnist,DNN,6,463,9.19,5,3,3
mnist,DNN,6,472,9.81,5,5,6
mnist,DNN,6,499,9.22,5,4,4
mnist,DNN,6,508,26.46,0,0,error
mnist,DNN,6,514,26.48,0,0,error
mnist,DNN,6,517,8.84,5,5,5
mnist,DNN,6,534,9.31,5,3,4
mnist,DNN,6,559,13.19,5,4,4
mnist,DNN,6,566,8.16,5,5,8
mnist,DNN,6,568,9.52,5,3,5
