Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,5,8,29.79,0,0,error
mnist,RF,5,15,29.63,0,0,error
mnist,RF,5,23,8.88,0,0,0
mnist,RF,5,45,8.27,1,0,0
mnist,RF,5,52,31.18,5,10,11
mnist,RF,5,53,10.69,0,0,0
mnist,RF,5,59,9.18,0,3,3
mnist,RF,5,102,73.3,3,9,11
mnist,RF,5,120,104.42,1,7,11
mnist,RF,5,127,8.8,1,0,0
mnist,RF,5,129,8.13,0,0,0
mnist,RF,5,132,92.92,0,9,11
mnist,RF,5,152,8.47,0,2,2
mnist,RF,5,153,11.17,0,12,12
mnist,RF,5,155,28.21,4,10,10
mnist,RF,5,162,98.16,2,9,11
mnist,RF,5,165,24.8,2,7,7
mnist,RF,5,167,10.45,5,10,11
mnist,RF,5,182,9.0,0,3,3
mnist,RF,5,187,8.89,0,0,0
mnist,RF,5,207,33.44,0,10,13
mnist,RF,5,211,7.8,0,3,3
mnist,RF,5,218,7.58,0,2,2
mnist,RF,5,219,36.18,5,4,4
mnist,RF,5,240,19.55,0,10,10
mnist,RF,5,253,7.88,1,0,0
mnist,RF,5,261,10.58,2,8,8
mnist,RF,5,283,8.28,0,3,3
mnist,RF,5,289,10.73,0,0,0
mnist,RF,5,317,11.44,3,8,8
mnist,RF,5,319,23.51,0,6,7
mnist,RF,5,333,8.69,1,3,3
mnist,RF,5,340,9.56,5,5,5
mnist,RF,5,347,91.15,0,9,11
mnist,RF,5,351,20.98,0,10,10
mnist,RF,5,352,8.63,5,1,1
mnist,RF,5,356,96.07,1,8,11
mnist,RF,5,364,8.67,1,0,0
mnist,RF,5,367,9.75,0,0,0
mnist,RF,5,375,8.21,2,0,0
mnist,RF,5,395,42.81,5,8,11
mnist,RF,5,397,11.56,1,12,12
mnist,RF,5,406,20.98,4,7,7
mnist,RF,5,412,29.51,0,0,error
mnist,RF,5,433,8.19,0,3,3
mnist,RF,5,460,8.91,0,3,3
mnist,RF,5,469,8.99,0,0,0
mnist,RF,5,478,8.97,0,0,0
mnist,RF,5,483,9.25,0,3,3
mnist,RF,5,491,7.55,0,0,0
