Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,8,61,28.09,0,0,error
mnist,DNN,8,84,9.75,5,8,10
mnist,DNN,8,110,20.6,5,5,6
mnist,DNN,8,128,46.46,5,0,0
mnist,DNN,8,134,12.75,5,4,4
mnist,DNN,8,146,10.49,5,3,3
mnist,DNN,8,177,9.84,5,5,5
mnist,DNN,8,179,11.59,5,3,3
mnist,DNN,8,181,17.23,5,2,3
mnist,DNN,8,184,14.77,5,5,7
mnist,DNN,8,226,17.27,5,0,2
mnist,DNN,8,232,17.99,5,2,3
mnist,DNN,8,233,11.47,5,6,6
mnist,DNN,8,242,26.8,0,0,error
mnist,DNN,8,257,13.03,5,4,4
mnist,DNN,8,260,10.68,5,6,6
mnist,DNN,8,266,27.09,0,0,error
mnist,DNN,8,268,26.27,0,0,error
mnist,DNN,8,277,20.99,5,4,6
mnist,DNN,8,290,26.33,0,0,error
mnist,DNN,8,299,17.31,5,3,4
mnist,DNN,8,338,35.07,3,5,7
mnist,DNN,8,344,12.8,5,1,1
mnist,DNN,8,355,14.7,5,7,7
mnist,DNN,8,373,15.16,5,1,1
mnist,DNN,8,374,12.23,5,1,1
mnist,DNN,8,391,10.7,5,5,5
mnist,DNN,8,401,13.1,5,4,4
mnist,DNN,8,403,7.54,5,7,7
mnist,DNN,8,429,12.75,5,1,1
mnist,DNN,8,431,26.74,0,0,error
mnist,DNN,8,435,12.39,5,4,4
mnist,DNN,8,436,9.52,5,5,6
mnist,DNN,8,458,12.04,5,3,3
mnist,DNN,8,465,13.17,5,2,3
mnist,DNN,8,466,19.16,5,3,4
mnist,DNN,8,470,17.97,5,4,5
mnist,DNN,8,474,13.97,5,3,4
mnist,DNN,8,486,10.4,5,8,10
mnist,DNN,8,495,14.48,0,5,5
mnist,DNN,8,520,11.65,5,4,5
mnist,DNN,8,527,66.97,1,3,7
mnist,DNN,8,538,12.96,5,6,7
mnist,DNN,8,542,27.02,0,0,error
mnist,DNN,8,543,27.15,0,0,error
mnist,DNN,8,553,13.6,5,5,7
mnist,DNN,8,563,10.01,5,5,5
mnist,DNN,8,572,9.87,5,2,2
mnist,DNN,8,580,22.47,5,4,6
mnist,DNN,8,582,26.54,0,0,error
