Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,0,3,11.77,5,1,1
mnist,RF,0,10,9.28,5,1,1
mnist,RF,0,13,10.9,5,1,1
mnist,RF,0,25,16.11,5,1,2
mnist,RF,0,28,18.12,5,2,3
mnist,RF,0,55,8.93,5,5,5
mnist,RF,0,69,8.84,5,1,1
mnist,RF,0,71,15.97,5,1,2
mnist,RF,0,101,10.12,5,1,1
mnist,RF,0,126,17.14,5,4,5
mnist,RF,0,136,11.67,5,3,3
mnist,RF,0,148,11.17,5,3,3
mnist,RF,0,157,11.06,5,3,3
mnist,RF,0,183,18.05,5,4,5
mnist,RF,0,188,10.82,5,0,1
mnist,RF,0,192,15.33,5,2,2
mnist,RF,0,194,10.04,5,2,2
mnist,RF,0,215,11.06,5,1,1
mnist,RF,0,246,11.56,5,1,1
mnist,RF,0,269,11.16,5,1,1
mnist,RF,0,271,10.47,5,2,3
mnist,RF,0,294,9.47,5,1,1
mnist,RF,0,296,10.5,5,1,1
mnist,RF,0,297,15.33,5,5,5
mnist,RF,0,305,17.78,5,2,3
mnist,RF,0,311,17.85,5,1,3
mnist,RF,0,312,10.86,5,1,1
mnist,RF,0,324,30.48,0,0,error
mnist,RF,0,327,10.09,5,3,3
mnist,RF,0,346,11.96,5,3,3
mnist,RF,0,365,9.97,5,5,5
mnist,RF,0,372,16.16,5,3,3
mnist,RF,0,380,20.35,5,2,3
mnist,RF,0,407,17.06,5,1,2
mnist,RF,0,424,9.67,5,1,1
mnist,RF,0,440,17.06,5,1,2
mnist,RF,0,441,11.62,5,1,1
mnist,RF,0,443,30.29,0,0,error
mnist,RF,0,459,12.66,5,3,4
mnist,RF,0,485,9.97,5,2,2
mnist,RF,0,490,9.13,5,2,3
mnist,RF,0,498,20.97,5,3,3
mnist,RF,0,525,9.88,5,1,1
mnist,RF,0,545,9.97,5,3,3
mnist,RF,0,546,15.61,5,2,2
mnist,RF,0,552,12.19,5,1,1
mnist,RF,0,561,9.85,1,7,8
mnist,RF,0,564,11.59,5,1,1
mnist,RF,0,567,9.48,5,1,1
mnist,RF,0,581,12.7,5,1,1
