Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,8,61,10.67,5,3,7
mnist,RF,8,84,8.95,5,1,1
mnist,RF,8,110,17.1,5,1,2
mnist,RF,8,128,7.64,5,0,1
mnist,RF,8,134,7.89,5,0,0
mnist,RF,8,146,8.45,5,2,2
mnist,RF,8,177,8.58,5,1,1
mnist,RF,8,179,8.85,5,0,0
mnist,RF,8,181,10.64,5,1,1
mnist,RF,8,184,16.16,5,0,2
mnist,RF,8,226,14.52,5,0,2
mnist,RF,8,232,8.35,5,0,1
mnist,RF,8,233,9.19,5,2,2
mnist,RF,8,242,29.74,0,0,error
mnist,RF,8,257,11.61,5,4,4
mnist,RF,8,260,9.5,5,1,1
mnist,RF,8,266,17.89,5,1,2
mnist,RF,8,268,8.4,0,0,0
mnist,RF,8,277,9.63,5,0,2
mnist,RF,8,290,29.73,0,0,error
mnist,RF,8,299,14.65,5,1,2
mnist,RF,8,338,14.29,5,1,2
mnist,RF,8,344,7.97,5,1,1
mnist,RF,8,355,12.23,5,1,1
mnist,RF,8,373,8.78,5,1,1
mnist,RF,8,374,7.77,5,1,1
mnist,RF,8,391,8.09,5,2,2
mnist,RF,8,401,7.88,5,1,1
mnist,RF,8,403,29.66,0,0,error
mnist,RF,8,429,9.55,5,1,1
mnist,RF,8,431,8.72,5,1,1
mnist,RF,8,435,8.56,5,0,0
mnist,RF,8,436,8.22,5,2,2
mnist,RF,8,458,8.58,5,2,2
mnist,RF,8,465,7.48,5,0,0
mnist,RF,8,466,13.3,5,0,1
mnist,RF,8,470,7.89,5,0,0
mnist,RF,8,474,7.93,5,0,1
mnist,RF,8,486,7.68,5,1,1
mnist,RF,8,495,29.48,0,0,error
mnist,RF,8,520,8.37,5,1,1
mnist,RF,8,527,29.59,0,0,error
mnist,RF,8,538,8.49,5,1,1
mnist,RF,8,542,9.12,5,1,1
mnist,RF,8,543,29.73,0,0,error
mnist,RF,8,553,29.14,0,0,error
mnist,RF,8,563,8.38,5,1,1
mnist,RF,8,572,8.68,5,1,1
mnist,RF,8,580,14.8,5,1,4
mnist,RF,8,582,15.51,5,1,2
