Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,6,11,15.37,5,3,4
mnist,RF,6,21,8.29,5,1,2
mnist,RF,6,22,15.3,5,3,4
mnist,RF,6,50,8.77,5,4,4
mnist,RF,6,54,17.02,5,2,4
mnist,RF,6,66,9.01,5,0,1
mnist,RF,6,81,8.4,5,0,1
mnist,RF,6,88,8.44,5,1,1
mnist,RF,6,91,7.93,5,1,1
mnist,RF,6,98,8.87,5,2,2
mnist,RF,6,100,8.23,5,2,2
mnist,RF,6,123,7.69,5,3,3
mnist,RF,6,130,8.56,5,1,1
mnist,RF,6,131,8.81,5,1,1
mnist,RF,6,138,7.97,5,2,2
mnist,RF,6,140,15.36,5,2,3
mnist,RF,6,156,8.78,5,4,4
mnist,RF,6,161,8.39,5,3,3
mnist,RF,6,164,29.44,0,0,error
mnist,RF,6,197,9.09,5,1,1
mnist,RF,6,201,16.35,5,1,1
mnist,RF,6,217,15.03,5,8,9
mnist,RF,6,259,10.52,5,2,3
mnist,RF,6,286,16.84,5,2,4
mnist,RF,6,316,14.15,5,3,5
mnist,RF,6,339,9.03,5,2,2
mnist,RF,6,341,8.68,5,4,4
mnist,RF,6,353,29.16,0,0,error
mnist,RF,6,361,15.21,5,2,4
mnist,RF,6,366,8.76,5,2,2
mnist,RF,6,368,15.5,5,2,4
mnist,RF,6,384,8.33,5,2,2
mnist,RF,6,386,9.08,5,4,4
mnist,RF,6,392,7.58,5,1,1
mnist,RF,6,439,8.88,5,4,4
mnist,RF,6,445,8.38,3,6,8
mnist,RF,6,446,14.35,5,2,4
mnist,RF,6,457,9.57,5,3,4
mnist,RF,6,461,21.27,5,2,4
mnist,RF,6,462,23.36,5,0,3
mnist,RF,6,463,8.64,5,2,2
mnist,RF,6,472,10.66,5,4,4
mnist,RF,6,499,14.15,5,2,4
mnist,RF,6,508,29.21,0,0,error
mnist,RF,6,514,9.62,5,4,4
mnist,RF,6,517,7.62,5,3,3
mnist,RF,6,534,11.01,5,3,4
mnist,RF,6,559,9.16,5,4,4
mnist,RF,6,566,7.91,5,2,4
mnist,RF,6,568,9.12,5,1,2
