Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,4,4,24.7,5,5,7
mnist,DNN,4,6,14.81,5,3,3
mnist,DNN,4,19,15.29,5,3,4
mnist,DNN,4,24,10.25,5,4,4
mnist,DNN,4,27,25.95,5,5,7
mnist,DNN,4,33,26.35,0,0,error
mnist,DNN,4,42,12.37,5,3,3
mnist,DNN,4,48,11.56,5,2,2
mnist,DNN,4,49,12.54,5,2,2
mnist,DNN,4,56,12.38,5,2,2
mnist,DNN,4,65,11.17,5,3,4
mnist,DNN,4,67,9.93,5,1,2
mnist,DNN,4,85,10.17,5,3,4
mnist,DNN,4,95,13.76,5,0,2
mnist,DNN,4,103,11.01,5,2,2
mnist,DNN,4,109,7.62,5,2,2
mnist,DNN,4,115,11.24,5,3,3
mnist,DNN,4,116,7.97,5,5,6
mnist,DNN,4,117,12.55,5,2,2
mnist,DNN,4,121,10.86,5,8,8
mnist,DNN,4,139,11.94,5,5,9
mnist,DNN,4,159,27.25,0,0,error
mnist,DNN,4,160,11.79,5,4,4
mnist,DNN,4,163,12.42,5,2,3
mnist,DNN,4,166,10.29,5,4,4
mnist,DNN,4,169,9.82,5,4,4
mnist,DNN,4,170,10.72,5,5,5
mnist,DNN,4,198,9.99,5,3,4
mnist,DNN,4,210,24.91,5,5,7
mnist,DNN,4,227,8.71,5,5,6
mnist,DNN,4,238,10.58,5,1,2
mnist,DNN,4,247,27.57,0,0,error
mnist,DNN,4,248,10.34,5,2,2
mnist,DNN,4,250,45.22,5,3,5
mnist,DNN,4,275,25.9,5,5,7
mnist,DNN,4,287,20.62,5,1,3
mnist,DNN,4,295,26.97,5,3,4
mnist,DNN,4,300,7.68,0,1,4
mnist,DNN,4,304,20.92,5,5,5
mnist,DNN,4,308,9.9,5,2,3
mnist,DNN,4,325,26.72,0,0,error
mnist,DNN,4,360,19.59,5,1,3
mnist,DNN,4,376,10.33,5,5,5
mnist,DNN,4,379,25.51,5,5,7
mnist,DNN,4,398,23.4,5,5,7
mnist,DNN,4,399,9.26,5,1,1
mnist,DNN,4,405,34.84,5,0,4
mnist,DNN,4,420,27.1,0,0,error
mnist,DNN,4,425,10.48,5,4,4
mnist,DNN,4,428,11.83,5,3,3
