Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,7,0,14.87,5,1,2
mnist,DNN,7,17,7.72,5,1,2
mnist,DNN,7,26,18.66,5,4,6
mnist,DNN,7,34,7.24,5,0,0
mnist,DNN,7,36,7.8,5,0,0
mnist,DNN,7,41,8.34,5,1,1
mnist,DNN,7,60,26.81,0,0,error
mnist,DNN,7,64,7.57,5,0,0
mnist,DNN,7,70,7.63,5,2,2
mnist,DNN,7,75,27.46,0,0,error
mnist,DNN,7,79,27.24,0,0,error
mnist,DNN,7,80,26.09,5,4,6
mnist,DNN,7,83,23.47,5,5,6
mnist,DNN,7,86,26.82,0,0,error
mnist,DNN,7,97,26.41,0,0,error
mnist,DNN,7,111,12.27,5,2,2
mnist,DNN,7,114,7.78,5,1,1
mnist,DNN,7,122,7.51,5,1,1
mnist,DNN,7,124,12.56,5,3,3
mnist,DNN,7,133,7.76,5,0,0
mnist,DNN,7,141,7.65,5,0,0
mnist,DNN,7,144,8.65,5,1,1
mnist,DNN,7,171,8.33,5,0,0
mnist,DNN,7,175,9.05,5,2,2
mnist,DNN,7,220,24.63,5,3,6
mnist,DNN,7,223,7.7,5,0,0
mnist,DNN,7,229,7.62,5,0,2
mnist,DNN,7,234,8.08,5,1,2
mnist,DNN,7,243,8.04,5,2,2
mnist,DNN,7,254,8.56,5,1,1
mnist,DNN,7,255,8.03,5,2,2
mnist,DNN,7,262,7.47,5,0,0
mnist,DNN,7,263,8.16,5,0,0
mnist,DNN,7,282,9.39,5,0,0
mnist,DNN,7,301,11.76,5,1,1
mnist,DNN,7,307,7.87,5,0,2
mnist,DNN,7,328,8.86,5,2,2
mnist,DNN,7,337,7.97,5,0,0
mnist,DNN,7,358,27.31,0,0,error
mnist,DNN,7,370,13.26,5,1,2
mnist,DNN,7,383,8.35,5,0,2
mnist,DNN,7,410,19.14,5,0,2
mnist,DNN,7,411,8.57,5,3,4
mnist,DNN,7,413,8.11,5,1,1
mnist,DNN,7,415,7.52,5,0,0
mnist,DNN,7,438,12.97,5,2,5
mnist,DNN,7,468,9.09,5,0,0
mnist,DNN,7,482,14.24,5,1,2
mnist,DNN,7,494,12.94,5,1,2
mnist,DNN,7,510,8.39,5,0,0
