Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,9,7,10.42,5,2,2
mnist,RF,9,9,9.51,5,2,2
mnist,RF,9,12,10.67,5,3,3
mnist,RF,9,16,12.17,5,4,4
mnist,RF,9,20,21.88,5,1,1
mnist,RF,9,58,24.45,5,1,2
mnist,RF,9,62,8.77,5,1,1
mnist,RF,9,73,29.41,0,0,error
mnist,RF,9,78,11.38,5,0,0
mnist,RF,9,92,29.47,0,0,error
mnist,RF,9,99,29.74,0,0,error
mnist,RF,9,104,29.53,0,0,error
mnist,RF,9,105,11.12,5,4,4
mnist,RF,9,108,9.34,5,2,2
mnist,RF,9,113,8.86,5,2,2
mnist,RF,9,118,12.97,5,1,2
mnist,RF,9,125,9.54,5,2,2
mnist,RF,9,150,16.23,5,3,4
mnist,RF,9,151,25.94,0,0,error
mnist,RF,9,185,9.75,5,3,3
mnist,RF,9,193,9.06,5,1,2
mnist,RF,9,206,20.19,5,2,4
mnist,RF,9,209,29.79,0,0,error
mnist,RF,9,212,29.78,0,0,error
mnist,RF,9,214,16.26,5,2,4
mnist,RF,9,235,10.15,5,2,2
mnist,RF,9,241,9.11,5,1,1
mnist,RF,9,252,10.76,5,3,3
mnist,RF,9,264,9.93,5,2,2
mnist,RF,9,273,11.31,5,2,2
mnist,RF,9,274,29.46,0,0,error
mnist,RF,9,281,10.09,5,2,2
mnist,RF,9,284,11.23,5,3,4
mnist,RF,9,292,8.64,5,2,2
mnist,RF,9,315,12.44,5,0,1
mnist,RF,9,320,29.72,0,0,error
mnist,RF,9,322,8.64,5,2,2
mnist,RF,9,336,12.41,5,2,2
mnist,RF,9,359,22.15,5,3,4
mnist,RF,9,389,9.45,5,0,0
mnist,RF,9,394,10.21,5,3,3
mnist,RF,9,414,9.88,5,1,2
mnist,RF,9,417,8.93,5,0,0
mnist,RF,9,422,8.59,5,2,2
mnist,RF,9,426,9.7,5,4,4
mnist,RF,9,434,9.22,5,3,3
mnist,RF,9,448,14.42,5,1,2
mnist,RF,9,454,15.54,5,3,4
mnist,RF,9,471,10.34,5,3,3
mnist,RF,9,479,53.8,2,4,4
