Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,3,18,10.75,5,2,2
mnist,DNN,3,30,17.58,5,4,4
mnist,DNN,3,32,13.62,5,2,2
mnist,DNN,3,44,13.09,5,0,0
mnist,DNN,3,51,23.91,5,2,3
mnist,DNN,3,63,26.5,0,0,error
mnist,DNN,3,68,47.75,5,1,2
mnist,DNN,3,76,9.15,5,2,2
mnist,DNN,3,87,7.21,5,2,3
mnist,DNN,3,90,38.71,5,1,2
mnist,DNN,3,93,12.15,5,3,3
mnist,DNN,3,112,7.82,5,2,3
mnist,DNN,3,142,12.59,5,2,2
mnist,DNN,3,158,8.95,5,2,4
mnist,DNN,3,173,9.72,5,2,2
mnist,DNN,3,195,7.49,5,3,3
mnist,DNN,3,200,9.94,5,1,1
mnist,DNN,3,205,8.11,5,2,3
mnist,DNN,3,213,11.24,5,3,4
mnist,DNN,3,216,15.16,5,4,4
mnist,DNN,3,230,8.96,5,2,4
mnist,DNN,3,231,11.23,5,0,0
mnist,DNN,3,245,27.21,0,0,error
mnist,DNN,3,270,14.47,5,2,2
mnist,DNN,3,309,11.96,5,1,1
mnist,DNN,3,310,9.65,5,2,2
mnist,DNN,3,313,15.52,5,7,8
mnist,DNN,3,323,12.35,5,2,2
mnist,DNN,3,334,11.29,5,2,2
mnist,DNN,3,335,10.4,5,2,2
mnist,DNN,3,343,14.69,5,1,1
mnist,DNN,3,349,27.26,0,0,error
mnist,DNN,3,369,13.86,5,0,0
mnist,DNN,3,381,26.54,0,0,error
mnist,DNN,3,382,29.86,5,4,4
mnist,DNN,3,402,12.04,5,1,1
mnist,DNN,3,408,12.2,5,1,1
mnist,DNN,3,437,40.5,5,0,2
mnist,DNN,3,442,32.7,5,1,2
mnist,DNN,3,449,38.38,5,5,9
mnist,DNN,3,450,17.28,5,3,4
mnist,DNN,3,451,15.69,5,2,2
mnist,DNN,3,453,10.96,5,1,1
mnist,DNN,3,464,27.07,0,0,error
mnist,DNN,3,493,28.91,5,2,4
mnist,DNN,3,500,39.57,5,3,4
mnist,DNN,3,505,12.76,5,1,1
mnist,DNN,3,507,13.7,5,2,2
mnist,DNN,3,515,10.28,5,3,3
mnist,DNN,3,524,12.55,5,2,2
