Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,4,4,10.94,5,4,5
mnist,RF,4,6,12.32,5,3,3
mnist,RF,4,19,20.94,5,4,7
mnist,RF,4,24,29.29,0,0,error
mnist,RF,4,27,12.62,5,5,5
mnist,RF,4,33,9.06,5,2,2
mnist,RF,4,42,11.57,5,3,3
mnist,RF,4,48,31.52,5,2,4
mnist,RF,4,49,14.95,5,4,5
mnist,RF,4,56,26.45,5,2,5
mnist,RF,4,65,26.09,0,0,error
mnist,RF,4,67,8.17,5,1,1
mnist,RF,4,85,119.66,5,0,2
mnist,RF,4,95,27.82,5,0,4
mnist,RF,4,103,9.22,5,4,4
mnist,RF,4,109,13.96,5,1,1
mnist,RF,4,115,14.52,5,6,6
mnist,RF,4,116,21.42,5,7,7
mnist,RF,4,117,25.94,5,2,5
mnist,RF,4,121,29.43,0,0,error
mnist,RF,4,139,15.59,5,5,7
mnist,RF,4,159,28.77,0,0,error
mnist,RF,4,160,23.55,5,4,7
mnist,RF,4,163,10.22,5,1,1
mnist,RF,4,166,14.35,5,8,9
mnist,RF,4,169,24.06,5,3,4
mnist,RF,4,170,34.11,5,6,6
mnist,RF,4,198,18.93,5,4,7
mnist,RF,4,210,21.29,5,3,5
mnist,RF,4,227,29.13,0,0,error
mnist,RF,4,238,9.75,5,1,1
mnist,RF,4,247,7.6,5,5,6
mnist,RF,4,248,10.52,5,0,1
mnist,RF,4,250,13.79,5,0,1
mnist,RF,4,275,12.9,5,5,5
mnist,RF,4,287,16.46,5,3,4
mnist,RF,4,295,18.13,5,3,4
mnist,RF,4,300,8.51,5,3,3
mnist,RF,4,304,14.68,5,2,2
mnist,RF,4,308,11.87,5,2,3
mnist,RF,4,325,11.0,5,2,2
mnist,RF,4,360,16.06,5,3,4
mnist,RF,4,376,12.86,5,1,1
mnist,RF,4,379,12.65,5,5,5
mnist,RF,4,398,22.08,5,3,5
mnist,RF,4,399,14.33,5,1,1
mnist,RF,4,405,29.1,0,0,error
mnist,RF,4,420,9.72,5,5,5
mnist,RF,4,425,14.39,5,2,4
mnist,RF,4,428,12.14,5,2,2
