Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,RF,3,1600,308.49,0,0,error
emnist,RF,3,1601,307.27,0,0,error
emnist,RF,3,1602,305.05,0,0,error
emnist,RF,3,1603,12.76,5,0,2
emnist,RF,3,1604,46.36,5,1,2
emnist,RF,3,1605,23.82,2,2,2
emnist,RF,3,1606,240.28,5,1,2
emnist,RF,3,1607,310.67,0,0,error
emnist,RF,3,1608,310.82,0,0,error
emnist,RF,3,1609,309.44,0,0,error
emnist,RF,3,1610,33.61,0,1,2
emnist,RF,3,1611,14.89,4,2,2
emnist,RF,3,1612,310.31,0,0,error
emnist,RF,3,1613,309.06,0,0,error
emnist,RF,3,1614,309.24,0,0,error
emnist,RF,3,1615,15.06,2,0,0
emnist,RF,3,1616,309.33,0,0,error
emnist,RF,3,1617,12.27,2,3,4
emnist,RF,3,1618,131.23,5,3,6
emnist,RF,3,1619,21.09,2,0,0
emnist,RF,3,1620,9.15,3,1,1
emnist,RF,3,1621,23.76,4,1,3
emnist,RF,3,1622,46.05,4,1,1
emnist,RF,3,1623,308.08,0,0,error
emnist,RF,3,1624,52.56,0,2,2
emnist,RF,3,1625,51.73,2,0,0
emnist,RF,3,1626,11.82,1,3,3
emnist,RF,3,1627,15.99,0,0,0
emnist,RF,3,1628,33.29,4,3,3
emnist,RF,3,1629,309.7,0,0,error
emnist,RF,3,1630,8.87,5,4,5
emnist,RF,3,1631,310.56,0,0,error
emnist,RF,3,1632,10.57,2,2,4
emnist,RF,3,1633,11.01,2,2,2
emnist,RF,3,1634,88.12,5,3,3
emnist,RF,3,1635,20.06,5,2,3
emnist,RF,3,1636,311.14,0,0,error
emnist,RF,3,1637,312.19,0,0,error
emnist,RF,3,1638,10.3,5,3,3
emnist,RF,3,1639,311.18,0,0,error
emnist,RF,3,1640,18.89,5,0,2
emnist,RF,3,1641,308.75,0,0,error
emnist,RF,3,1642,78.67,3,0,1
emnist,RF,3,1643,49.73,1,1,2
emnist,RF,3,1644,50.6,0,2,2
emnist,RF,3,1645,309.48,0,0,error
emnist,RF,3,1646,11.51,2,0,2
emnist,RF,3,1647,308.66,0,0,error
emnist,RF,3,1648,310.67,0,0,error
emnist,RF,3,1649,309.83,0,0,error
