Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,0,3,9.92,5,2,2
mnist,RF,0,10,10.44,5,0,2
mnist,RF,0,13,11.27,5,3,3
mnist,RF,0,25,9.45,5,2,2
mnist,RF,0,28,16.74,5,4,5
mnist,RF,0,55,9.65,5,5,5
mnist,RF,0,69,16.03,5,2,3
mnist,RF,0,71,14.9,5,0,1
mnist,RF,0,101,11.63,5,2,2
mnist,RF,0,126,9.59,5,2,2
mnist,RF,0,136,11.22,5,6,6
mnist,RF,0,148,9.3,5,7,7
mnist,RF,0,157,8.84,5,5,5
mnist,RF,0,183,11.17,5,2,2
mnist,RF,0,188,10.34,5,0,0
mnist,RF,0,192,11.56,5,4,4
mnist,RF,0,194,11.97,5,5,5
mnist,RF,0,215,10.91,5,3,5
mnist,RF,0,246,9.46,5,1,1
mnist,RF,0,269,9.68,5,3,3
mnist,RF,0,271,10.05,5,4,4
mnist,RF,0,294,9.18,5,3,3
mnist,RF,0,296,9.45,5,1,1
mnist,RF,0,297,11.64,5,3,3
mnist,RF,0,305,10.91,5,3,3
mnist,RF,0,311,11.02,5,2,2
mnist,RF,0,312,9.25,5,4,4
mnist,RF,0,324,8.79,1,2,3
mnist,RF,0,327,9.34,5,3,3
mnist,RF,0,346,18.65,5,5,6
mnist,RF,0,365,9.2,5,5,5
mnist,RF,0,372,16.25,5,7,8
mnist,RF,0,380,10.03,5,0,0
mnist,RF,0,407,9.79,5,3,3
mnist,RF,0,424,8.77,5,1,2
mnist,RF,0,440,10.38,5,2,2
mnist,RF,0,441,11.33,5,4,6
mnist,RF,0,443,12.71,4,3,3
mnist,RF,0,459,14.59,5,1,2
mnist,RF,0,485,11.9,5,2,2
mnist,RF,0,490,10.51,5,3,3
mnist,RF,0,498,10.02,5,4,4
mnist,RF,0,525,10.03,5,3,4
mnist,RF,0,545,13.42,5,4,4
mnist,RF,0,546,15.91,5,0,0
mnist,RF,0,552,22.26,5,4,6
mnist,RF,0,561,10.22,1,7,8
mnist,RF,0,564,11.38,5,5,5
mnist,RF,0,567,8.94,3,2,3
mnist,RF,0,581,10.08,5,1,1
