Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
fashion,RF,8,18,9.18,5,0,1
fashion,RF,8,30,7.58,5,1,1
fashion,RF,8,31,11.77,5,0,0
fashion,RF,8,34,7.99,5,1,1
fashion,RF,8,53,9.52,5,0,2
fashion,RF,8,56,9.42,5,0,0
fashion,RF,8,58,8.51,5,0,2
fashion,RF,8,62,7.88,5,0,0
fashion,RF,8,69,8.4,5,1,1
fashion,RF,8,78,7.93,5,1,1
fashion,RF,8,81,8.54,5,0,1
fashion,RF,8,95,8.9,5,0,1
fashion,RF,8,105,8.74,5,1,1
fashion,RF,8,116,8.69,5,0,0
fashion,RF,8,119,8.34,5,0,0
fashion,RF,8,126,8.89,5,1,2
fashion,RF,8,134,8.43,5,0,0
fashion,RF,8,196,8.09,5,0,2
fashion,RF,8,209,11.2,5,0,0
fashion,RF,8,212,8.71,5,0,0
fashion,RF,8,220,8.63,5,0,0
fashion,RF,8,231,8.49,5,0,0
fashion,RF,8,245,8.88,5,4,5
fashion,RF,8,256,9.32,5,0,0
fashion,RF,8,262,8.9,5,0,1
fashion,RF,8,267,8.5,5,0,0
fashion,RF,8,276,8.75,5,1,1
fashion,RF,8,298,8.59,5,2,2
fashion,RF,8,299,19.35,5,1,3
fashion,RF,8,303,7.85,5,1,1
fashion,RF,8,320,8.73,4,1,2
fashion,RF,8,352,8.96,5,0,0
fashion,RF,8,358,9.42,5,1,3
fashion,RF,8,385,10.19,5,0,1
fashion,RF,8,422,8.31,5,0,0
fashion,RF,8,424,17.9,2,0,2
fashion,RF,8,427,9.05,5,0,0
fashion,RF,8,429,8.77,5,2,2
fashion,RF,8,442,16.68,5,0,2
fashion,RF,8,443,8.11,5,0,0
fashion,RF,8,467,26.14,5,1,1
fashion,RF,8,469,8.35,5,0,0
fashion,RF,8,486,8.2,5,0,0
fashion,RF,8,492,8.3,5,2,2
fashion,RF,8,505,7.51,5,0,0
fashion,RF,8,515,8.53,5,0,0
fashion,RF,8,521,8.58,5,0,1
fashion,RF,8,523,8.7,5,2,2
fashion,RF,8,528,7.79,5,0,0
fashion,RF,8,529,9.71,5,0,0
