Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,RF,9,6400,310.43,0,0,error
emnist,RF,9,6401,310.15,0,0,error
emnist,RF,9,6402,90.73,0,2,2
emnist,RF,9,6403,8.81,0,0,0
emnist,RF,9,6404,19.88,0,2,2
emnist,RF,9,6405,22.66,0,3,3
emnist,RF,9,6406,20.13,0,1,2
emnist,RF,9,6407,11.15,0,0,0
emnist,RF,9,6408,8.56,0,1,1
emnist,RF,9,6409,13.56,0,0,0
emnist,RF,9,6410,9.01,1,0,0
emnist,RF,9,6411,9.89,0,1,1
emnist,RF,9,6412,17.06,0,0,0
emnist,RF,9,6413,10.77,0,1,1
emnist,RF,9,6414,23.26,1,0,1
emnist,RF,9,6415,23.62,0,1,1
emnist,RF,9,6416,11.05,0,1,1
emnist,RF,9,6417,10.51,1,1,1
emnist,RF,9,6418,9.43,0,1,1
emnist,RF,9,6419,10.88,1,1,1
emnist,RF,9,6420,41.4,1,0,0
emnist,RF,9,6421,311.8,0,0,error
emnist,RF,9,6422,16.85,0,0,0
emnist,RF,9,6423,14.52,1,0,1
emnist,RF,9,6424,11.47,2,0,0
emnist,RF,9,6425,21.8,0,0,1
emnist,RF,9,6426,16.09,0,1,2
emnist,RF,9,6427,11.6,2,0,1
emnist,RF,9,6428,9.16,3,1,2
emnist,RF,9,6429,29.82,0,0,1
emnist,RF,9,6430,17.01,0,0,1
emnist,RF,9,6431,13.17,1,0,0
emnist,RF,9,6432,8.8,1,0,0
emnist,RF,9,6433,10.21,0,1,1
emnist,RF,9,6434,13.93,1,0,0
emnist,RF,9,6435,18.8,0,0,1
emnist,RF,9,6436,125.49,0,4,4
emnist,RF,9,6437,34.81,0,1,2
emnist,RF,9,6438,81.7,0,3,5
emnist,RF,9,6439,9.87,1,2,2
emnist,RF,9,6440,8.12,0,0,0
emnist,RF,9,6441,311.2,0,0,error
emnist,RF,9,6442,18.95,0,0,0
emnist,RF,9,6443,10.88,0,1,1
emnist,RF,9,6444,23.98,1,0,0
emnist,RF,9,6445,21.26,1,0,0
emnist,RF,9,6446,12.42,0,0,1
emnist,RF,9,6447,12.97,1,0,1
emnist,RF,9,6448,18.28,1,2,3
emnist,RF,9,6449,20.1,0,1,1
