Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,DNN,4,2400,36.68,0,2,2
emnist,DNN,4,2401,12.94,1,0,0
emnist,DNN,4,2402,344.99,0,0,error
emnist,DNN,4,2403,334.45,0,0,error
emnist,DNN,4,2404,82.9,0,2,3
emnist,DNN,4,2405,10.27,0,2,2
emnist,DNN,4,2406,27.8,0,5,6
emnist,DNN,4,2407,316.96,0,0,error
emnist,DNN,4,2408,317.56,0,0,error
emnist,DNN,4,2409,9.94,5,1,2
emnist,DNN,4,2410,8.64,0,2,2
emnist,DNN,4,2411,8.21,0,0,0
emnist,DNN,4,2412,50.79,0,0,1
emnist,DNN,4,2413,316.93,0,0,error
emnist,DNN,4,2414,9.88,5,1,1
emnist,DNN,4,2415,24.48,1,2,2
emnist,DNN,4,2416,316.09,0,0,error
emnist,DNN,4,2417,9.58,1,0,1
emnist,DNN,4,2418,11.55,0,1,1
emnist,DNN,4,2419,15.91,0,2,4
emnist,DNN,4,2420,173.83,0,2,2
emnist,DNN,4,2421,314.59,0,0,error
emnist,DNN,4,2422,317.33,0,0,error
emnist,DNN,4,2423,18.82,0,1,1
emnist,DNN,4,2424,25.5,0,0,0
emnist,DNN,4,2425,314.68,0,0,error
emnist,DNN,4,2426,9.82,5,0,0
emnist,DNN,4,2427,22.77,0,2,4
emnist,DNN,4,2428,319.29,0,0,error
emnist,DNN,4,2429,11.44,0,2,4
emnist,DNN,4,2430,319.93,0,0,error
emnist,DNN,4,2431,136.48,0,2,2
emnist,DNN,4,2432,13.55,5,1,2
emnist,DNN,4,2433,317.79,0,0,error
emnist,DNN,4,2434,14.97,0,6,6
emnist,DNN,4,2435,11.06,5,0,2
emnist,DNN,4,2436,28.83,0,0,0
emnist,DNN,4,2437,12.59,0,1,1
emnist,DNN,4,2438,34.02,0,3,3
emnist,DNN,4,2439,318.44,0,0,error
emnist,DNN,4,2440,9.67,1,2,2
emnist,DNN,4,2441,12.81,0,1,1
emnist,DNN,4,2442,20.41,0,2,2
emnist,DNN,4,2443,11.83,0,1,1
emnist,DNN,4,2444,19.07,0,3,3
emnist,DNN,4,2445,317.98,0,0,error
emnist,DNN,4,2446,50.44,0,4,4
emnist,DNN,4,2447,16.33,0,3,3
emnist,DNN,4,2448,314.82,0,0,error
emnist,DNN,4,2449,197.74,0,0,2
