Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,8,61,296.46,0,0,error
mnist,DNN,8,84,9.61,5,8,10
mnist,DNN,8,110,22.02,5,5,6
mnist,DNN,8,128,55.62,5,0,0
mnist,DNN,8,134,25.91,5,4,6
mnist,DNN,8,146,10.57,5,6,6
mnist,DNN,8,177,12.5,5,5,5
mnist,DNN,8,179,13.64,5,4,4
mnist,DNN,8,181,17.06,5,3,4
mnist,DNN,8,184,10.86,5,6,6
mnist,DNN,8,226,19.91,5,2,2
mnist,DNN,8,232,16.4,5,3,4
mnist,DNN,8,233,8.67,5,2,2
mnist,DNN,8,242,9.07,5,2,2
mnist,DNN,8,257,12.58,5,7,9
mnist,DNN,8,260,13.26,5,3,3
mnist,DNN,8,266,10.02,1,3,3
mnist,DNN,8,268,13.35,1,2,3
mnist,DNN,8,277,35.62,5,0,0
mnist,DNN,8,290,293.33,0,0,error
mnist,DNN,8,299,25.67,5,3,5
mnist,DNN,8,338,37.38,5,2,6
mnist,DNN,8,344,11.58,5,3,3
mnist,DNN,8,355,17.98,5,5,6
mnist,DNN,8,373,20.98,5,2,3
mnist,DNN,8,374,10.71,5,2,2
mnist,DNN,8,391,15.3,5,7,8
mnist,DNN,8,401,12.44,5,6,6
mnist,DNN,8,403,8.23,5,7,7
mnist,DNN,8,429,12.02,5,2,2
mnist,DNN,8,431,11.07,5,3,3
mnist,DNN,8,435,9.32,5,3,3
mnist,DNN,8,436,12.42,5,4,4
mnist,DNN,8,458,10.1,5,2,2
mnist,DNN,8,465,21.35,5,1,3
mnist,DNN,8,466,19.11,5,2,3
mnist,DNN,8,470,26.78,5,2,4
mnist,DNN,8,474,16.03,5,3,4
mnist,DNN,8,486,14.51,5,5,5
mnist,DNN,8,495,31.26,0,5,5
mnist,DNN,8,520,11.66,5,5,5
mnist,DNN,8,527,71.23,0,3,7
mnist,DNN,8,538,11.44,5,5,5
mnist,DNN,8,542,9.64,5,6,6
mnist,DNN,8,543,292.73,0,0,error
mnist,DNN,8,553,10.6,5,5,5
mnist,DNN,8,563,13.99,5,4,4
mnist,DNN,8,572,16.19,5,2,2
mnist,DNN,8,580,20.9,5,0,1
mnist,DNN,8,582,293.03,0,0,error
