Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,1,2,11.24,5,2,2
mnist,DNN,1,5,9.54,5,2,2
mnist,DNN,1,14,8.56,5,0,0
mnist,DNN,1,29,8.32,5,2,2
mnist,DNN,1,31,8.44,5,2,2
mnist,DNN,1,37,12.93,5,1,1
mnist,DNN,1,39,10.17,5,0,0
mnist,DNN,1,40,14.32,5,2,3
mnist,DNN,1,46,10.47,5,4,5
mnist,DNN,1,57,7.97,5,0,0
mnist,DNN,1,74,8.26,5,1,1
mnist,DNN,1,89,8.49,5,2,2
mnist,DNN,1,94,9.65,5,1,1
mnist,DNN,1,96,8.53,5,2,2
mnist,DNN,1,107,14.91,5,1,2
mnist,DNN,1,135,7.78,5,0,0
mnist,DNN,1,137,13.87,5,3,4
mnist,DNN,1,143,8.47,5,0,0
mnist,DNN,1,145,8.23,5,0,0
mnist,DNN,1,154,9.23,5,2,2
mnist,DNN,1,168,8.78,5,2,2
mnist,DNN,1,176,15.09,5,2,3
mnist,DNN,1,178,9.87,5,2,2
mnist,DNN,1,180,10.35,5,1,1
mnist,DNN,1,189,8.74,5,3,3
mnist,DNN,1,190,9.21,5,2,2
mnist,DNN,1,191,8.42,5,2,2
mnist,DNN,1,196,8.24,5,2,2
mnist,DNN,1,202,8.35,5,1,1
mnist,DNN,1,203,8.5,5,3,3
mnist,DNN,1,204,9.64,5,2,2
mnist,DNN,1,224,15.55,5,2,3
mnist,DNN,1,228,8.77,5,4,4
mnist,DNN,1,239,9.05,5,5,5
mnist,DNN,1,251,7.8,5,2,2
mnist,DNN,1,265,7.58,5,2,2
mnist,DNN,1,267,8.88,5,1,1
mnist,DNN,1,272,14.45,5,1,2
mnist,DNN,1,276,8.5,5,0,0
mnist,DNN,1,279,14.78,5,1,2
mnist,DNN,1,288,9.03,5,1,1
mnist,DNN,1,302,15.78,5,0,1
mnist,DNN,1,314,9.79,5,2,2
mnist,DNN,1,329,9.76,5,2,3
mnist,DNN,1,330,9.11,5,2,2
mnist,DNN,1,332,10.27,5,1,1
mnist,DNN,1,342,8.68,5,1,1
mnist,DNN,1,345,8.6,5,2,2
mnist,DNN,1,348,9.21,5,1,1
mnist,DNN,1,350,9.08,5,2,2
