Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,DNN,1,0,220.6,2,1,1
emnist,DNN,1,1,314.78,0,0,error
emnist,DNN,1,2,15.88,4,1,2
emnist,DNN,1,3,315.69,0,0,error
emnist,DNN,1,4,51.78,5,3,3
emnist,DNN,1,5,313.34,0,0,error
emnist,DNN,1,6,185.03,3,0,1
emnist,DNN,1,7,310.02,0,0,error
emnist,DNN,1,8,314.41,0,0,error
emnist,DNN,1,9,22.05,5,1,3
emnist,DNN,1,10,9.23,2,0,0
emnist,DNN,1,11,314.73,0,0,error
emnist,DNN,1,12,87.81,2,2,4
emnist,DNN,1,13,28.86,5,1,4
emnist,DNN,1,14,27.7,1,0,0
emnist,DNN,1,15,313.32,0,0,error
emnist,DNN,1,16,322.57,0,0,error
emnist,DNN,1,17,23.86,5,1,4
emnist,DNN,1,18,321.55,0,0,error
emnist,DNN,1,19,49.25,5,1,6
emnist,DNN,1,20,56.4,5,2,6
emnist,DNN,1,21,338.22,0,0,error
emnist,DNN,1,22,320.68,0,0,error
emnist,DNN,1,23,96.02,4,1,3
emnist,DNN,1,24,12.51,5,2,4
emnist,DNN,1,25,319.07,0,0,error
emnist,DNN,1,26,16.62,5,4,4
emnist,DNN,1,27,17.66,1,1,3
emnist,DNN,1,28,20.63,4,0,0
emnist,DNN,1,29,55.62,4,0,3
emnist,DNN,1,30,316.59,0,0,error
emnist,DNN,1,31,15.96,2,0,0
emnist,DNN,1,32,18.75,5,0,0
emnist,DNN,1,33,313.21,0,0,error
emnist,DNN,1,34,63.82,0,1,1
emnist,DNN,1,35,316.44,0,0,error
emnist,DNN,1,36,104.41,0,1,1
emnist,DNN,1,37,316.45,0,0,error
emnist,DNN,1,38,313.62,0,0,error
emnist,DNN,1,39,24.36,5,3,3
emnist,DNN,1,40,17.48,3,2,3
emnist,DNN,1,41,18.22,5,1,2
emnist,DNN,1,42,43.38,3,1,3
emnist,DNN,1,43,314.68,0,0,error
emnist,DNN,1,44,28.69,2,1,1
emnist,DNN,1,45,13.38,2,1,1
emnist,DNN,1,46,168.55,5,0,0
emnist,DNN,1,47,315.76,0,0,error
emnist,DNN,1,48,339.11,0,0,error
emnist,DNN,1,49,29.61,5,1,1
