Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,1,2,19.48,5,4,4
mnist,RF,1,5,16.02,5,2,2
mnist,RF,1,14,15.78,5,3,3
mnist,RF,1,29,12.01,2,6,6
mnist,RF,1,31,14.49,5,4,4
mnist,RF,1,37,14.0,5,1,1
mnist,RF,1,39,11.02,5,2,2
mnist,RF,1,40,15.99,5,5,5
mnist,RF,1,46,12.09,3,8,8
mnist,RF,1,57,17.42,5,3,3
mnist,RF,1,74,9.89,5,1,1
mnist,RF,1,89,15.11,5,2,3
mnist,RF,1,94,289.95,0,0,error
mnist,RF,1,96,8.8,0,4,5
mnist,RF,1,107,20.35,5,5,6
mnist,RF,1,135,26.16,5,4,5
mnist,RF,1,137,15.63,5,2,2
mnist,RF,1,143,14.67,5,2,2
mnist,RF,1,145,18.48,5,5,5
mnist,RF,1,154,12.28,5,3,3
mnist,RF,1,168,51.54,5,2,2
mnist,RF,1,176,14.34,5,6,8
mnist,RF,1,178,15.51,5,3,3
mnist,RF,1,180,12.68,5,1,3
mnist,RF,1,189,9.57,1,5,5
mnist,RF,1,190,10.47,5,3,3
mnist,RF,1,191,12.02,0,4,5
mnist,RF,1,196,11.9,5,2,2
mnist,RF,1,202,15.62,5,7,8
mnist,RF,1,203,11.84,5,5,5
mnist,RF,1,204,15.32,5,3,3
mnist,RF,1,224,16.27,5,6,8
mnist,RF,1,228,11.34,5,6,6
mnist,RF,1,239,11.29,5,4,4
mnist,RF,1,251,17.47,5,6,7
mnist,RF,1,265,15.97,5,5,5
mnist,RF,1,267,16.97,5,3,3
mnist,RF,1,272,14.28,5,2,2
mnist,RF,1,276,12.17,5,4,4
mnist,RF,1,279,13.7,5,0,0
mnist,RF,1,288,14.92,5,4,6
mnist,RF,1,302,25.32,4,1,4
mnist,RF,1,314,9.71,2,2,2
mnist,RF,1,329,12.6,5,2,2
mnist,RF,1,330,17.11,5,3,3
mnist,RF,1,332,78.1,5,3,3
mnist,RF,1,342,23.01,5,3,4
mnist,RF,1,345,14.7,5,3,3
mnist,RF,1,348,13.22,5,6,6
mnist,RF,1,350,14.99,5,4,4
