Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
fashion,DNN,9,0,10.98,5,0,0
fashion,DNN,9,23,10.05,1,3,3
fashion,DNN,9,28,8.84,5,0,0
fashion,DNN,9,39,8.27,5,1,1
fashion,DNN,9,68,12.31,5,2,2
fashion,DNN,9,83,10.32,5,0,0
fashion,DNN,9,107,11.8,5,4,4
fashion,DNN,9,108,8.26,5,0,0
fashion,DNN,9,122,9.26,5,2,2
fashion,DNN,9,123,8.49,5,1,1
fashion,DNN,9,132,9.48,5,0,0
fashion,DNN,9,158,8.21,5,0,0
fashion,DNN,9,163,14.3,5,0,2
fashion,DNN,9,165,9.11,5,2,2
fashion,DNN,9,178,288.9,0,0,error
fashion,DNN,9,181,9.47,5,0,0
fashion,DNN,9,185,8.22,5,0,0
fashion,DNN,9,186,9.81,5,0,0
fashion,DNN,9,203,9.36,5,1,1
fashion,DNN,9,208,9.79,5,0,0
fashion,DNN,9,232,8.82,5,0,0
fashion,DNN,9,234,9.55,5,0,0
fashion,DNN,9,242,10.77,5,1,2
fashion,DNN,9,250,8.39,5,0,0
fashion,DNN,9,268,9.64,5,1,1
fashion,DNN,9,291,8.15,5,0,0
fashion,DNN,9,297,9.32,5,0,0
fashion,DNN,9,307,13.61,5,0,1
fashion,DNN,9,316,9.68,5,3,3
fashion,DNN,9,346,8.45,5,0,0
fashion,DNN,9,348,8.48,5,1,1
fashion,DNN,9,349,9.2,5,0,0
fashion,DNN,9,372,8.94,5,1,1
fashion,DNN,9,375,10.91,5,0,1
fashion,DNN,9,377,10.14,5,0,0
fashion,DNN,9,392,9.29,5,2,3
fashion,DNN,9,401,9.32,5,0,0
fashion,DNN,9,414,9.36,5,0,0
fashion,DNN,9,428,13.86,5,1,1
fashion,DNN,9,441,8.74,5,0,0
fashion,DNN,9,448,9.23,5,0,1
fashion,DNN,9,456,10.45,5,1,1
fashion,DNN,9,470,9.26,5,0,0
fashion,DNN,9,477,14.54,5,0,1
fashion,DNN,9,479,9.48,5,2,2
fashion,DNN,9,481,10.17,5,1,1
fashion,DNN,9,493,15.3,5,0,1
fashion,DNN,9,495,8.9,5,2,2
fashion,DNN,9,514,10.09,5,1,1
fashion,DNN,9,518,8.95,5,3,3
