Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,3,18,289.2,0,0,error
mnist,RF,3,30,25.92,5,4,4
mnist,RF,3,32,15.7,5,4,4
mnist,RF,3,44,13.63,5,5,5
mnist,RF,3,51,20.82,2,1,2
mnist,RF,3,63,11.88,5,4,4
mnist,RF,3,68,39.12,0,3,7
mnist,RF,3,76,11.46,5,3,3
mnist,RF,3,87,14.1,5,5,5
mnist,RF,3,90,28.42,5,3,3
mnist,RF,3,93,14.26,5,2,2
mnist,RF,3,112,16.91,5,3,3
mnist,RF,3,142,26.37,0,7,8
mnist,RF,3,158,13.57,5,6,6
mnist,RF,3,173,13.2,5,3,3
mnist,RF,3,195,9.3,5,1,1
mnist,RF,3,200,185.35,5,1,3
mnist,RF,3,205,15.01,5,5,6
mnist,RF,3,213,12.78,4,9,9
mnist,RF,3,216,13.4,5,7,7
mnist,RF,3,230,8.86,5,10,10
mnist,RF,3,231,15.19,5,3,3
mnist,RF,3,245,12.65,5,0,0
mnist,RF,3,270,120.18,5,2,2
mnist,RF,3,309,13.59,5,6,8
mnist,RF,3,310,12.76,5,3,3
mnist,RF,3,313,12.9,2,5,5
mnist,RF,3,323,46.55,5,7,8
mnist,RF,3,334,17.75,5,6,6
mnist,RF,3,335,7.96,5,3,3
mnist,RF,3,343,22.6,5,7,7
mnist,RF,3,349,78.94,0,1,1
mnist,RF,3,369,13.31,5,3,3
mnist,RF,3,381,15.3,0,5,6
mnist,RF,3,382,11.56,5,2,2
mnist,RF,3,402,20.19,5,7,7
mnist,RF,3,408,14.1,5,5,6
mnist,RF,3,437,70.18,5,0,3
mnist,RF,3,442,28.48,5,3,6
mnist,RF,3,449,51.07,0,1,8
mnist,RF,3,450,20.12,5,1,2
mnist,RF,3,451,16.88,5,1,2
mnist,RF,3,453,14.22,5,3,3
mnist,RF,3,464,17.88,2,2,4
mnist,RF,3,493,24.25,5,3,5
mnist,RF,3,500,24.83,1,3,4
mnist,RF,3,505,19.61,5,2,3
mnist,RF,3,507,9.72,3,8,8
mnist,RF,3,515,8.92,0,4,4
mnist,RF,3,524,11.4,5,5,5
