Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,9,7,12.08,5,2,2
mnist,DNN,9,9,18.22,5,4,4
mnist,DNN,9,12,19.23,5,4,4
mnist,DNN,9,16,11.28,5,4,4
mnist,DNN,9,20,29.4,5,3,3
mnist,DNN,9,58,20.75,5,3,3
mnist,DNN,9,62,7.77,5,2,2
mnist,DNN,9,73,289.61,0,0,error
mnist,DNN,9,78,17.32,5,9,10
mnist,DNN,9,92,13.07,5,6,8
mnist,DNN,9,99,36.41,5,1,1
mnist,DNN,9,104,8.74,5,3,4
mnist,DNN,9,105,10.87,5,3,3
mnist,DNN,9,108,29.09,5,7,8
mnist,DNN,9,113,9.6,5,1,1
mnist,DNN,9,118,8.11,5,3,3
mnist,DNN,9,125,17.87,5,5,8
mnist,DNN,9,150,89.71,5,2,3
mnist,DNN,9,151,291.87,0,0,error
mnist,DNN,9,185,12.31,5,2,2
mnist,DNN,9,193,8.25,5,6,6
mnist,DNN,9,206,16.04,5,5,5
mnist,DNN,9,209,291.81,0,0,error
mnist,DNN,9,212,21.47,5,1,4
mnist,DNN,9,214,22.53,5,1,3
mnist,DNN,9,235,9.33,5,3,3
mnist,DNN,9,241,292.93,0,0,error
mnist,DNN,9,252,13.28,5,3,3
mnist,DNN,9,264,10.44,5,5,5
mnist,DNN,9,273,38.37,5,1,1
mnist,DNN,9,274,14.53,5,2,3
mnist,DNN,9,281,11.46,5,3,3
mnist,DNN,9,284,16.01,5,2,4
mnist,DNN,9,292,38.87,5,2,5
mnist,DNN,9,315,13.16,5,1,3
mnist,DNN,9,320,27.48,5,4,4
mnist,DNN,9,322,16.2,5,2,3
mnist,DNN,9,336,21.76,5,1,2
mnist,DNN,9,359,32.05,5,4,4
mnist,DNN,9,389,34.23,5,4,8
mnist,DNN,9,394,8.88,5,3,4
mnist,DNN,9,414,10.86,5,1,2
mnist,DNN,9,417,8.57,5,3,3
mnist,DNN,9,422,24.41,3,2,4
mnist,DNN,9,426,11.64,5,8,8
mnist,DNN,9,434,8.5,5,3,3
mnist,DNN,9,448,292.13,0,0,error
mnist,DNN,9,454,9.01,5,2,2
mnist,DNN,9,471,8.8,3,1,3
mnist,DNN,9,479,293.67,0,0,error
