Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,RF,8,5600,40.44,0,2,8
emnist,RF,8,5601,28.84,1,1,3
emnist,RF,8,5602,12.82,0,1,1
emnist,RF,8,5603,15.97,0,1,1
emnist,RF,8,5604,28.13,5,3,3
emnist,RF,8,5605,14.57,0,2,2
emnist,RF,8,5606,23.29,0,2,2
emnist,RF,8,5607,36.19,2,0,8
emnist,RF,8,5608,310.64,0,0,error
emnist,RF,8,5609,8.77,0,1,1
emnist,RF,8,5610,31.01,5,1,2
emnist,RF,8,5611,8.79,1,1,1
emnist,RF,8,5612,24.47,0,2,3
emnist,RF,8,5613,21.62,1,1,3
emnist,RF,8,5614,309.89,0,0,error
emnist,RF,8,5615,43.54,3,3,3
emnist,RF,8,5616,15.8,1,1,1
emnist,RF,8,5617,307.59,0,0,error
emnist,RF,8,5618,309.86,0,0,error
emnist,RF,8,5619,15.7,0,1,1
emnist,RF,8,5620,309.34,0,0,error
emnist,RF,8,5621,310.5,0,0,error
emnist,RF,8,5622,20.01,0,2,2
emnist,RF,8,5623,14.17,5,2,2
emnist,RF,8,5624,8.15,1,0,0
emnist,RF,8,5625,17.83,0,3,3
emnist,RF,8,5626,10.15,1,1,1
emnist,RF,8,5627,12.36,0,2,2
emnist,RF,8,5628,8.92,0,1,1
emnist,RF,8,5629,13.87,0,0,0
emnist,RF,8,5630,17.0,1,3,3
emnist,RF,8,5631,159.88,1,0,0
emnist,RF,8,5632,311.93,0,0,error
emnist,RF,8,5633,309.98,0,0,error
emnist,RF,8,5634,52.7,1,3,3
emnist,RF,8,5635,30.62,0,2,2
emnist,RF,8,5636,309.44,0,0,error
emnist,RF,8,5637,153.95,1,0,0
emnist,RF,8,5638,27.0,5,3,3
emnist,RF,8,5639,9.18,0,2,2
emnist,RF,8,5640,25.17,0,1,1
emnist,RF,8,5641,8.41,0,1,1
emnist,RF,8,5642,29.91,0,0,1
emnist,RF,8,5643,26.13,0,1,3
emnist,RF,8,5644,308.89,0,0,error
emnist,RF,8,5645,24.25,4,1,3
emnist,RF,8,5646,25.48,1,2,2
emnist,RF,8,5647,51.96,2,3,8
emnist,RF,8,5648,11.63,4,0,1
emnist,RF,8,5649,10.22,1,3,3
