Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,3,18,23.03,5,2,3
mnist,DNN,3,30,19.69,5,3,3
mnist,DNN,3,32,27.32,5,7,7
mnist,DNN,3,44,14.92,5,4,6
mnist,DNN,3,51,57.07,5,1,5
mnist,DNN,3,63,54.94,5,5,5
mnist,DNN,3,68,20.32,5,6,6
mnist,DNN,3,76,13.96,5,2,2
mnist,DNN,3,87,12.16,5,4,4
mnist,DNN,3,90,58.7,5,5,7
mnist,DNN,3,93,14.98,5,4,4
mnist,DNN,3,112,11.19,5,3,3
mnist,DNN,3,142,18.69,5,4,4
mnist,DNN,3,158,10.55,5,5,6
mnist,DNN,3,173,11.5,5,1,1
mnist,DNN,3,195,9.49,5,4,5
mnist,DNN,3,200,27.92,5,0,1
mnist,DNN,3,205,8.97,5,2,3
mnist,DNN,3,213,10.14,5,3,4
mnist,DNN,3,216,18.49,5,5,5
mnist,DNN,3,230,9.15,5,6,6
mnist,DNN,3,231,9.57,5,2,3
mnist,DNN,3,245,322.08,0,0,error
mnist,DNN,3,270,20.85,5,3,4
mnist,DNN,3,309,14.74,5,0,0
mnist,DNN,3,310,9.12,5,4,4
mnist,DNN,3,313,36.21,5,3,3
mnist,DNN,3,323,17.7,5,3,3
mnist,DNN,3,334,14.69,5,4,4
mnist,DNN,3,335,9.04,5,0,0
mnist,DNN,3,343,33.66,5,4,5
mnist,DNN,3,349,10.9,5,8,9
mnist,DNN,3,369,19.56,5,5,5
mnist,DNN,3,381,56.94,5,2,2
mnist,DNN,3,382,38.7,5,2,2
mnist,DNN,3,402,9.12,5,2,2
mnist,DNN,3,408,13.24,5,4,7
mnist,DNN,3,437,40.15,5,1,5
mnist,DNN,3,442,28.91,5,6,8
mnist,DNN,3,449,48.11,5,5,9
mnist,DNN,3,450,17.39,5,2,2
mnist,DNN,3,451,15.1,5,3,3
mnist,DNN,3,453,10.97,5,7,7
mnist,DNN,3,464,311.92,0,0,error
mnist,DNN,3,493,15.34,5,2,2
mnist,DNN,3,500,29.58,5,2,2
mnist,DNN,3,505,9.71,5,3,3
mnist,DNN,3,507,9.96,5,5,9
mnist,DNN,3,515,8.29,5,6,6
mnist,DNN,3,524,13.94,5,2,2
