Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,DNN,6,4000,111.08,1,2,2
emnist,DNN,6,4001,318.61,0,0,error
emnist,DNN,6,4002,48.0,1,0,0
emnist,DNN,6,4003,317.26,0,0,error
emnist,DNN,6,4004,8.41,0,0,0
emnist,DNN,6,4005,80.64,1,5,5
emnist,DNN,6,4006,34.5,0,0,0
emnist,DNN,6,4007,85.91,1,0,0
emnist,DNN,6,4008,147.81,0,0,0
emnist,DNN,6,4009,90.64,0,2,2
emnist,DNN,6,4010,25.39,1,0,2
emnist,DNN,6,4011,31.63,0,0,0
emnist,DNN,6,4012,155.38,0,2,2
emnist,DNN,6,4013,14.21,0,0,0
emnist,DNN,6,4014,64.23,0,2,2
emnist,DNN,6,4015,318.8,0,0,error
emnist,DNN,6,4016,13.01,2,1,1
emnist,DNN,6,4017,314.65,0,0,error
emnist,DNN,6,4018,26.12,0,4,4
emnist,DNN,6,4019,316.96,0,0,error
emnist,DNN,6,4020,320.13,0,0,error
emnist,DNN,6,4021,317.71,0,0,error
emnist,DNN,6,4022,110.2,0,0,0
emnist,DNN,6,4023,47.21,0,1,1
emnist,DNN,6,4024,13.66,0,3,3
emnist,DNN,6,4025,12.83,0,1,1
emnist,DNN,6,4026,28.67,0,3,3
emnist,DNN,6,4027,319.76,0,0,error
emnist,DNN,6,4028,317.48,0,0,error
emnist,DNN,6,4029,29.49,0,3,3
emnist,DNN,6,4030,21.67,1,0,0
emnist,DNN,6,4031,54.7,0,0,2
emnist,DNN,6,4032,233.84,0,1,2
emnist,DNN,6,4033,10.81,0,3,3
emnist,DNN,6,4034,319.35,0,0,error
emnist,DNN,6,4035,318.72,0,0,error
emnist,DNN,6,4036,11.11,0,0,0
emnist,DNN,6,4037,9.22,0,0,0
emnist,DNN,6,4038,49.67,0,3,4
emnist,DNN,6,4039,15.95,0,0,0
emnist,DNN,6,4040,13.99,0,0,0
emnist,DNN,6,4041,80.87,0,2,2
emnist,DNN,6,4042,14.74,0,0,0
emnist,DNN,6,4043,319.2,0,0,error
emnist,DNN,6,4044,316.52,0,0,error
emnist,DNN,6,4045,315.77,0,0,error
emnist,DNN,6,4046,25.51,0,0,0
emnist,DNN,6,4047,18.64,1,0,0
emnist,DNN,6,4048,51.02,0,0,0
emnist,DNN,6,4049,316.15,0,0,error
