Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
fashion,DNN,1,2,9.98,5,0,1
fashion,DNN,1,3,9.77,5,0,0
fashion,DNN,1,5,7.62,5,0,0
fashion,DNN,1,15,13.98,5,0,1
fashion,DNN,1,24,8.99,5,0,0
fashion,DNN,1,41,8.44,5,0,0
fashion,DNN,1,47,8.87,5,1,1
fashion,DNN,1,64,8.55,5,1,1
fashion,DNN,1,65,8.19,5,0,0
fashion,DNN,1,76,8.86,5,1,1
fashion,DNN,1,80,8.43,5,1,1
fashion,DNN,1,94,8.62,5,0,2
fashion,DNN,1,97,14.41,5,1,2
fashion,DNN,1,128,8.93,5,0,0
fashion,DNN,1,131,8.91,5,0,0
fashion,DNN,1,133,7.96,5,0,2
fashion,DNN,1,137,7.82,5,0,0
fashion,DNN,1,140,8.95,5,0,0
fashion,DNN,1,144,8.37,5,0,1
fashion,DNN,1,146,9.81,5,1,1
fashion,DNN,1,152,8.99,5,0,0
fashion,DNN,1,173,7.69,5,0,0
fashion,DNN,1,175,8.44,5,4,4
fashion,DNN,1,179,8.85,5,0,0
fashion,DNN,1,190,10.56,5,2,2
fashion,DNN,1,192,14.24,5,2,3
fashion,DNN,1,199,7.78,5,0,0
fashion,DNN,1,200,8.98,5,1,1
fashion,DNN,1,211,8.93,5,1,1
fashion,DNN,1,214,9.88,5,0,0
fashion,DNN,1,216,7.77,5,1,1
fashion,DNN,1,237,9.48,5,0,1
fashion,DNN,1,270,9.02,5,2,2
fashion,DNN,1,281,7.69,5,0,0
fashion,DNN,1,296,8.69,2,0,3
fashion,DNN,1,310,16.14,5,1,2
fashion,DNN,1,317,7.91,5,1,1
fashion,DNN,1,334,8.5,5,0,0
fashion,DNN,1,343,8.17,5,1,1
fashion,DNN,1,345,8.41,5,0,0
fashion,DNN,1,350,7.99,5,0,0
fashion,DNN,1,360,7.96,5,0,0
fashion,DNN,1,386,8.57,5,1,1
fashion,DNN,1,398,8.21,5,0,0
fashion,DNN,1,409,12.63,5,3,4
fashion,DNN,1,417,12.63,5,0,2
fashion,DNN,1,436,284.16,0,0,error
fashion,DNN,1,438,8.88,5,0,0
fashion,DNN,1,447,8.76,5,1,1
fashion,DNN,1,453,7.85,5,0,0
