Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,5,8,356.03,0,0,error
mnist,DNN,5,15,20.56,5,7,8
mnist,DNN,5,23,10.29,5,1,1
mnist,DNN,5,45,18.55,5,5,5
mnist,DNN,5,52,10.06,5,1,1
mnist,DNN,5,53,22.59,5,5,6
mnist,DNN,5,59,9.72,5,4,4
mnist,DNN,5,102,11.05,5,2,2
mnist,DNN,5,120,44.32,5,5,9
mnist,DNN,5,127,16.75,5,3,4
mnist,DNN,5,129,18.84,5,6,7
mnist,DNN,5,132,38.99,5,4,7
mnist,DNN,5,152,10.24,5,2,2
mnist,DNN,5,153,17.24,5,5,7
mnist,DNN,5,155,11.35,5,2,2
mnist,DNN,5,162,24.82,5,1,3
mnist,DNN,5,165,41.4,5,5,8
mnist,DNN,5,167,11.23,5,3,3
mnist,DNN,5,182,10.2,5,2,2
mnist,DNN,5,187,28.96,5,4,5
mnist,DNN,5,207,18.36,5,3,4
mnist,DNN,5,211,10.22,5,1,1
mnist,DNN,5,218,11.59,5,5,5
mnist,DNN,5,219,18.47,5,5,6
mnist,DNN,5,240,26.49,5,5,7
mnist,DNN,5,253,15.62,5,4,4
mnist,DNN,5,261,10.3,5,4,4
mnist,DNN,5,283,13.52,5,4,4
mnist,DNN,5,289,15.33,5,5,5
mnist,DNN,5,317,10.19,5,7,7
mnist,DNN,5,319,10.66,5,4,4
mnist,DNN,5,333,10.21,5,2,2
mnist,DNN,5,340,12.23,5,6,6
mnist,DNN,5,347,18.77,5,2,3
mnist,DNN,5,351,26.73,5,3,5
mnist,DNN,5,352,20.67,5,5,6
mnist,DNN,5,356,16.83,5,3,3
mnist,DNN,5,364,17.2,5,5,7
mnist,DNN,5,367,23.01,5,4,5
mnist,DNN,5,375,10.84,5,3,4
mnist,DNN,5,395,11.07,5,7,7
mnist,DNN,5,397,18.95,5,3,3
mnist,DNN,5,406,10.16,5,3,3
mnist,DNN,5,412,29.04,5,6,7
mnist,DNN,5,433,9.51,5,4,4
mnist,DNN,5,460,351.21,0,0,error
mnist,DNN,5,469,23.26,5,3,5
mnist,DNN,5,478,12.87,5,7,8
mnist,DNN,5,483,9.87,5,4,4
mnist,DNN,5,491,16.16,5,3,4
