Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
fashion,DNN,4,6,21.28,5,1,1
fashion,DNN,4,10,18.62,3,2,4
fashion,DNN,4,14,12.35,5,0,1
fashion,DNN,4,17,24.47,5,0,0
fashion,DNN,4,25,10.14,5,0,2
fashion,DNN,4,50,8.36,5,0,1
fashion,DNN,4,51,8.86,5,1,1
fashion,DNN,4,57,8.07,5,0,0
fashion,DNN,4,79,9.69,5,0,1
fashion,DNN,4,98,10.09,5,0,0
fashion,DNN,4,109,10.45,5,2,2
fashion,DNN,4,127,12.15,5,1,3
fashion,DNN,4,130,8.67,5,0,0
fashion,DNN,4,150,20.63,5,3,3
fashion,DNN,4,151,10.05,3,1,1
fashion,DNN,4,153,17.9,5,5,6
fashion,DNN,4,156,9.65,5,2,2
fashion,DNN,4,166,26.06,5,1,6
fashion,DNN,4,168,11.81,5,4,5
fashion,DNN,4,187,8.91,5,1,1
fashion,DNN,4,188,8.77,5,1,1
fashion,DNN,4,205,8.68,5,0,0
fashion,DNN,4,210,9.05,5,1,1
fashion,DNN,4,213,9.55,5,3,3
fashion,DNN,4,238,14.57,5,1,2
fashion,DNN,4,239,11.03,2,1,1
fashion,DNN,4,247,287.99,5,0,0
fashion,DNN,4,261,17.7,5,1,4
fashion,DNN,4,279,9.3,5,0,0
fashion,DNN,4,289,9.95,5,3,3
fashion,DNN,4,313,8.38,5,1,1
fashion,DNN,4,315,19.48,5,0,2
fashion,DNN,4,319,11.0,4,1,2
fashion,DNN,4,324,11.29,5,1,1
fashion,DNN,4,340,8.84,5,0,3
fashion,DNN,4,347,10.2,5,6,7
fashion,DNN,4,357,10.08,5,1,1
fashion,DNN,4,363,12.77,5,3,3
fashion,DNN,4,364,9.4,5,0,1
fashion,DNN,4,373,8.59,5,2,3
fashion,DNN,4,378,34.11,3,5,6
fashion,DNN,4,391,8.46,5,1,1
fashion,DNN,4,396,11.02,2,1,2
fashion,DNN,4,404,12.74,5,0,0
fashion,DNN,4,405,8.58,5,1,1
fashion,DNN,4,415,9.71,5,1,3
fashion,DNN,4,419,36.04,5,1,6
fashion,DNN,4,425,13.6,5,1,2
fashion,DNN,4,426,8.75,5,1,1
fashion,DNN,4,432,11.25,1,0,2
