Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,9,7,11.48,5,2,2
mnist,RF,9,9,223.99,4,0,0
mnist,RF,9,12,8.68,5,2,2
mnist,RF,9,16,10.44,5,1,1
mnist,RF,9,20,13.13,5,2,2
mnist,RF,9,58,25.73,5,2,2
mnist,RF,9,62,8.21,5,1,1
mnist,RF,9,73,285.57,0,0,error
mnist,RF,9,78,9.12,5,2,2
mnist,RF,9,92,8.61,5,2,2
mnist,RF,9,99,12.94,5,2,2
mnist,RF,9,104,14.84,5,2,5
mnist,RF,9,105,8.28,5,0,0
mnist,RF,9,108,15.63,5,2,3
mnist,RF,9,113,13.69,5,3,3
mnist,RF,9,118,10.2,5,4,4
mnist,RF,9,125,9.26,5,0,0
mnist,RF,9,150,16.24,5,3,4
mnist,RF,9,151,19.05,5,7,7
mnist,RF,9,185,8.76,5,1,1
mnist,RF,9,193,9.17,5,1,1
mnist,RF,9,206,15.77,5,1,3
mnist,RF,9,209,12.91,5,4,4
mnist,RF,9,212,17.44,5,4,4
mnist,RF,9,214,10.39,5,2,2
mnist,RF,9,235,8.16,5,0,0
mnist,RF,9,241,8.83,5,5,5
mnist,RF,9,252,13.13,5,0,0
mnist,RF,9,264,10.52,5,3,3
mnist,RF,9,273,12.42,5,2,2
mnist,RF,9,274,12.74,5,1,1
mnist,RF,9,281,11.35,5,2,2
mnist,RF,9,284,9.58,5,4,4
mnist,RF,9,292,15.15,5,1,2
mnist,RF,9,315,8.78,5,3,3
mnist,RF,9,320,11.41,5,2,2
mnist,RF,9,322,14.74,5,1,2
mnist,RF,9,336,9.62,5,2,2
mnist,RF,9,359,51.45,5,3,4
mnist,RF,9,389,10.54,5,2,2
mnist,RF,9,394,9.17,5,3,3
mnist,RF,9,414,9.21,5,1,1
mnist,RF,9,417,11.29,5,3,3
mnist,RF,9,422,8.52,5,1,1
mnist,RF,9,426,9.4,5,4,4
mnist,RF,9,434,9.13,5,2,2
mnist,RF,9,448,7.96,5,1,1
mnist,RF,9,454,16.06,5,3,4
mnist,RF,9,471,9.76,5,2,2
mnist,RF,9,479,53.56,5,10,10
