Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,RF,1,0,10.62,5,0,2
emnist,RF,1,1,305.67,0,0,error
emnist,RF,1,2,86.42,5,1,1
emnist,RF,1,3,302.4,0,0,error
emnist,RF,1,4,25.1,0,1,1
emnist,RF,1,5,11.71,5,2,4
emnist,RF,1,6,84.86,5,1,2
emnist,RF,1,7,301.58,0,0,error
emnist,RF,1,8,302.3,0,0,error
emnist,RF,1,9,50.33,5,0,2
emnist,RF,1,10,301.84,0,0,error
emnist,RF,1,11,51.21,5,0,2
emnist,RF,1,12,27.17,5,0,0
emnist,RF,1,13,62.22,5,0,1
emnist,RF,1,14,301.92,0,0,error
emnist,RF,1,15,11.49,5,1,2
emnist,RF,1,16,19.58,4,1,3
emnist,RF,1,17,16.74,5,0,4
emnist,RF,1,18,28.25,5,2,3
emnist,RF,1,19,49.83,5,1,1
emnist,RF,1,20,14.47,5,0,2
emnist,RF,1,21,301.13,0,0,error
emnist,RF,1,22,300.37,0,0,error
emnist,RF,1,23,49.53,3,0,5
emnist,RF,1,24,23.39,5,0,0
emnist,RF,1,25,27.23,5,4,5
emnist,RF,1,26,16.55,5,0,3
emnist,RF,1,27,21.14,5,1,4
emnist,RF,1,28,303.75,0,0,error
emnist,RF,1,29,9.6,5,1,3
emnist,RF,1,30,296.25,0,0,error
emnist,RF,1,31,15.63,5,1,2
emnist,RF,1,32,18.11,5,1,8
emnist,RF,1,33,16.17,2,3,3
emnist,RF,1,34,299.54,0,0,error
emnist,RF,1,35,64.79,5,0,3
emnist,RF,1,36,299.87,0,0,error
emnist,RF,1,37,301.01,0,0,error
emnist,RF,1,38,66.55,5,0,0
emnist,RF,1,39,63.92,5,0,3
emnist,RF,1,40,300.73,0,0,error
emnist,RF,1,41,18.85,5,1,4
emnist,RF,1,42,21.82,5,0,1
emnist,RF,1,43,62.79,3,0,0
emnist,RF,1,44,13.79,5,3,6
emnist,RF,1,45,298.67,0,0,error
emnist,RF,1,46,38.97,5,1,2
emnist,RF,1,47,300.16,0,0,error
emnist,RF,1,48,13.81,5,2,4
emnist,RF,1,49,58.38,2,0,0
