Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,6,11,11.05,5,4,4
mnist,DNN,6,21,9.74,5,3,4
mnist,DNN,6,22,9.41,5,7,7
mnist,DNN,6,50,10.46,5,4,4
mnist,DNN,6,54,7.56,5,1,1
mnist,DNN,6,66,9.06,5,4,4
mnist,DNN,6,81,10.01,5,3,4
mnist,DNN,6,88,11.47,5,4,4
mnist,DNN,6,91,8.82,5,1,1
mnist,DNN,6,98,10.64,5,5,5
mnist,DNN,6,100,10.48,5,3,3
mnist,DNN,6,123,7.78,5,0,0
mnist,DNN,6,130,9.91,5,4,4
mnist,DNN,6,131,9.01,5,3,3
mnist,DNN,6,138,9.04,5,3,3
mnist,DNN,6,140,8.52,5,2,2
mnist,DNN,6,156,10.68,5,2,3
mnist,DNN,6,161,9.24,5,2,2
mnist,DNN,6,164,10.12,5,7,7
mnist,DNN,6,197,9.68,5,1,1
mnist,DNN,6,201,7.42,5,1,1
mnist,DNN,6,217,46.47,5,5,6
mnist,DNN,6,259,292.23,0,0,error
mnist,DNN,6,286,14.29,5,2,3
mnist,DNN,6,316,8.67,5,3,3
mnist,DNN,6,339,10.59,5,4,5
mnist,DNN,6,341,290.86,0,0,error
mnist,DNN,6,353,18.25,5,2,4
mnist,DNN,6,361,15.76,5,3,4
mnist,DNN,6,366,11.91,5,4,4
mnist,DNN,6,368,13.38,5,2,2
mnist,DNN,6,384,8.85,5,3,3
mnist,DNN,6,386,9.22,5,6,6
mnist,DNN,6,392,9.18,5,1,1
mnist,DNN,6,439,10.85,5,4,4
mnist,DNN,6,445,7.7,5,2,2
mnist,DNN,6,446,8.92,5,2,3
mnist,DNN,6,457,8.94,5,7,8
mnist,DNN,6,461,24.56,5,6,8
mnist,DNN,6,462,25.0,5,2,4
mnist,DNN,6,463,9.5,5,4,4
mnist,DNN,6,472,10.0,5,6,7
mnist,DNN,6,499,8.93,5,8,8
mnist,DNN,6,508,291.29,0,0,error
mnist,DNN,6,514,9.88,5,4,4
mnist,DNN,6,517,8.96,5,6,6
mnist,DNN,6,534,9.17,5,1,1
mnist,DNN,6,559,10.55,5,5,5
mnist,DNN,6,566,10.27,5,7,7
mnist,DNN,6,568,8.43,5,2,3
