Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,6,11,8.55,5,2,3
mnist,RF,6,21,10.32,5,0,1
mnist,RF,6,22,11.45,5,2,2
mnist,RF,6,50,8.08,5,3,3
mnist,RF,6,54,13.75,5,1,3
mnist,RF,6,66,8.35,5,2,4
mnist,RF,6,81,9.36,5,2,3
mnist,RF,6,88,8.43,5,5,6
mnist,RF,6,91,8.28,5,3,3
mnist,RF,6,98,9.41,5,1,5
mnist,RF,6,100,8.21,5,3,3
mnist,RF,6,123,8.82,5,0,0
mnist,RF,6,130,8.45,5,4,4
mnist,RF,6,131,9.56,5,1,1
mnist,RF,6,138,8.97,5,3,3
mnist,RF,6,140,8.19,5,2,2
mnist,RF,6,156,14.52,5,5,6
mnist,RF,6,161,8.0,5,1,1
mnist,RF,6,164,8.33,5,5,5
mnist,RF,6,197,8.53,5,0,0
mnist,RF,6,201,7.99,5,3,3
mnist,RF,6,217,11.92,5,6,6
mnist,RF,6,259,10.34,5,1,1
mnist,RF,6,286,13.82,5,2,3
mnist,RF,6,316,14.74,5,5,6
mnist,RF,6,339,8.67,5,3,3
mnist,RF,6,341,10.43,5,2,2
mnist,RF,6,353,287.02,0,0,error
mnist,RF,6,361,11.63,5,3,3
mnist,RF,6,366,8.39,5,5,5
mnist,RF,6,368,8.88,5,2,2
mnist,RF,6,384,7.8,5,1,1
mnist,RF,6,386,7.81,5,2,3
mnist,RF,6,392,8.35,5,0,0
mnist,RF,6,439,8.9,5,3,3
mnist,RF,6,445,9.51,4,6,8
mnist,RF,6,446,8.94,5,2,3
mnist,RF,6,457,8.64,5,5,5
mnist,RF,6,461,26.55,5,0,3
mnist,RF,6,462,10.29,5,0,0
mnist,RF,6,463,13.91,5,1,2
mnist,RF,6,472,8.67,5,4,5
mnist,RF,6,499,8.02,5,3,3
mnist,RF,6,508,9.28,0,2,2
mnist,RF,6,514,8.39,5,4,4
mnist,RF,6,517,9.97,5,4,4
mnist,RF,6,534,10.69,5,2,3
mnist,RF,6,559,12.63,5,2,2
mnist,RF,6,566,9.71,5,3,3
mnist,RF,6,568,8.88,5,0,0
