Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,4,4,11.8,5,1,2
mnist,RF,4,6,15.86,5,4,5
mnist,RF,4,19,15.52,5,3,3
mnist,RF,4,24,9.8,5,1,2
mnist,RF,4,27,19.2,5,4,5
mnist,RF,4,33,9.4,5,4,4
mnist,RF,4,42,18.22,5,1,1
mnist,RF,4,48,28.66,5,1,2
mnist,RF,4,49,14.37,5,2,3
mnist,RF,4,56,16.15,5,2,2
mnist,RF,4,65,13.76,5,6,6
mnist,RF,4,67,19.51,5,2,2
mnist,RF,4,85,11.93,5,1,2
mnist,RF,4,95,15.01,5,1,4
mnist,RF,4,103,13.48,5,2,3
mnist,RF,4,109,19.89,5,1,5
mnist,RF,4,115,15.09,5,5,6
mnist,RF,4,116,11.91,5,9,9
mnist,RF,4,117,8.41,5,0,0
mnist,RF,4,121,15.67,1,6,7
mnist,RF,4,139,14.83,5,2,3
mnist,RF,4,159,12.96,5,2,2
mnist,RF,4,160,12.97,5,3,3
mnist,RF,4,163,15.26,5,2,3
mnist,RF,4,166,7.84,5,2,2
mnist,RF,4,169,23.9,5,4,4
mnist,RF,4,170,30.92,5,8,9
mnist,RF,4,198,11.98,5,7,7
mnist,RF,4,210,21.68,5,4,5
mnist,RF,4,227,9.25,5,3,3
mnist,RF,4,238,18.76,5,2,3
mnist,RF,4,247,8.65,5,2,2
mnist,RF,4,248,11.0,5,0,1
mnist,RF,4,250,18.77,5,2,2
mnist,RF,4,275,17.97,5,4,5
mnist,RF,4,287,20.83,5,3,4
mnist,RF,4,295,29.84,5,1,4
mnist,RF,4,300,8.31,5,4,4
mnist,RF,4,304,12.79,5,3,3
mnist,RF,4,308,10.85,5,3,3
mnist,RF,4,325,12.51,5,7,7
mnist,RF,4,360,43.52,5,5,6
mnist,RF,4,376,13.24,5,8,8
mnist,RF,4,379,18.64,5,4,5
mnist,RF,4,398,22.25,5,5,6
mnist,RF,4,399,14.4,5,1,1
mnist,RF,4,405,25.51,5,2,4
mnist,RF,4,420,9.61,5,5,5
mnist,RF,4,425,20.46,5,0,4
mnist,RF,4,428,8.69,5,4,4
